ID base 10,ID base 16,Byte 0,Byte 1,Value 1,Byte 2,Byte 3,Value 2,Byte 4,Byte 5,Value 3,Byte 6,Byte 7,Value 4
864,3EA,0,0,0,3,181,949,0,0,0,0,0,0
1002,372,0,0,0,0,0,0,0,0,0,0,0,0
882,3EA,0,118,118,0,0,0,252,11,64523,3,245,1013
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,29E,0,0,0,3,181,949,0,0,0,0,0,0
670,3EA,0,9,9,22,26,5658,252,67,64579,166,3,42499
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,36B,0,0,0,3,182,950,0,0,0,0,0,0
875,3EA,3,245,1013,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,182,950,0,0,0,0,0,0
998,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E5,0,0,0,3,182,950,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E2,0,0,0,3,182,950,0,0,0,0,0,0
994,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E9,0,0,0,3,182,950,0,0,0,0,0,0
1001,361,0,0,0,0,0,0,3,133,901,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,362,0,0,0,0,0,0,0,0,0,0,0,0
866,36B,0,0,0,0,0,0,255,230,65510,0,0,0
875,363,3,245,1013,0,0,0,0,0,0,0,0,0
867,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,183,951,0,0,0,0,0,0
998,36C,0,0,0,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,29E,4,85,1109,0,0,0,0,0,0,0,0,0
670,3E7,0,9,9,64,87,16471,236,14,60430,182,237,46829
999,3E5,3,245,1013,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,372,0,0,0,0,0,0,0,0,0,0,0,0
882,369,0,118,118,0,0,0,252,11,64523,3,245,1013
873,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36F,0,0,0,0,0,0,0,0,0,0,0,0
879,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E9,0,0,0,3,182,950,0,0,0,0,0,0
1001,361,0,0,0,0,0,0,3,133,901,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,360,0,9,9,248,52,63540,78,166,20134,20,190,5310
864,36B,0,0,0,3,182,950,0,0,0,0,0,0
875,363,3,245,1013,0,0,0,0,0,0,0,0,0
867,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E6,0,0,0,0,0,0,0,0,0,0,0,0
998,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,36C,4,84,1108,0,0,0,0,0,0,0,0,0
876,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,3E7,0,9,9,200,94,51294,74,113,19057,16,109,4205
999,3E5,3,245,1013,0,0,0,0,0,0,0,0,0
997,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E2,0,0,0,3,183,951,0,0,0,0,0,0
994,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,369,0,0,0,0,0,0,0,0,0,0,0,0
873,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E9,0,0,0,3,182,950,0,0,0,0,0,0
